person_id,bank_account_number,bank,person_age,person_education,person_gender,person_marital_status,person_occupation
p004911,A004911,3862507,52,bachelor's degree,male,married,retired
p004912,A004912,3714628,42,bachelor's degree,male,married,retired
p004913,A004913,1398427,48,bachelor's degree,male,married,retired
p004914,A004914,3295718,42,bachelor's degree,male,married,retired
p004915,A004915,5286314,27,associate degree,male,married,retired
p004916,A004916,1047286,42,associate degree,male,married,retired
p004917,A004917,2657408,58,bachelor's degree,male,married,unemployed
p004918,A004918,5472906,62,bachelor's degree,female,married,blue-collar worker
p004919,A004919,2486137,42,associate degree,male,married,unemployed
p004920,A004920,1683509,42,bachelor's degree,male,married,retired
p004921,A004921,2793615,42,bachelor's degree,male,married,business owner
p004922,A004922,5039472,42,associate degree,male,married,retired
p004923,A004923,4871609,42,bachelor's degree,male,married,retired
p004924,A004924,3581974,42,bachelor's degree,male,married,blue-collar worker
p004925,A004925,2947806,27,associate degree,male,married,retired
p004926,A004926,2657408,52,bachelor's degree,male,married,blue-collar worker
p004927,A004927,3468205,42,bachelor's degree,male,married,blue-collar worker
p004928,A004928,4027316,42,bachelor's degree,male,married,retired
p004929,A004929,1739462,42,bachelor's degree,female,married,retired
p004930,A004930,4528071,42,bachelor's degree,male,married,retired
p004931,A004931,3186407,41,associate degree,male,married,unemployed
p004932,A004932,4528071,47,bachelor's degree,male,married,retired
p004933,A004933,1398427,42,associate degree,male,married,retired
p004934,A004934,1047286,42,bachelor's degree,male,married,unemployed
p004935,A004935,3581974,62,associate degree,male,married,retired
p004936,A004936,1398427,47,bachelor's degree,male,married,business owner
p004937,A004937,1047286,42,bachelor's degree,female,married,retired
p004938,A004938,2198345,42,associate degree,male,married,retired
p004939,A004939,1872056,62,bachelor's degree,male,married,retired
p004940,A004940,1265934,27,associate degree,male,married,retired
p004941,A004941,5472906,28,bachelor's degree,male,married,retired
p004942,A004942,1265934,42,bachelor's degree,male,married,business owner
p004943,A004943,4693725,42,bachelor's degree,male,married,blue-collar worker
p004944,A004944,2793615,45,associate degree,male,married,retired
p004945,A004945,3295718,27,bachelor's degree,male,married,retired
p004946,A004946,2367901,42,bachelor's degree,female,married,retired
p004947,A004947,3862507,42,bachelor's degree,male,married,retired
p004948,A004948,4175902,27,associate degree,male,single,unemployed
p004949,A004949,3295718,42,bachelor's degree,male,married,retired
p004950,A004950,4528071,62,bachelor's degree,male,married,blue-collar worker
p004951,A004951,2947806,42,bachelor's degree,male,married,retired
p004952,A004952,2947806,42,bachelor's degree,male,married,retired
p004953,A004953,4175902,42,bachelor's degree,male,married,retired
p004954,A004954,2793615,42,bachelor's degree,male,married,unemployed
p004955,A004955,1398427,62,bachelor's degree,female,married,retired
p004956,A004956,3862507,42,associate degree,male,married,retired
p004957,A004957,3468205,43,bachelor's degree,male,married,unemployed
p004958,A004958,3468205,42,bachelor's degree,male,married,retired
p004959,A004959,3714628,57,associate degree,male,married,retired
p004960,A004960,1683509,62,bachelor's degree,male,married,retired
p004961,A004961,2198345,42,bachelor's degree,male,married,business owner
p004962,A004962,1398427,52,bachelor's degree,male,married,retired
p004963,A004963,2367901,42,associate degree,male,married,retired
p004964,A004964,1398427,45,associate degree,male,married,retired
p004965,A004965,3295718,42,bachelor's degree,male,married,retired
p004966,A004966,5472906,42,associate degree,male,married,retired
p004967,A004967,1872056,42,associate degree,female,married,unemployed
p004968,A004968,4693725,41,bachelor's degree,male,married,business owner
p004969,A004969,1683509,62,bachelor's degree,male,married,business owner
p004970,A004970,3468205,42,associate degree,male,married,unemployed
p004971,A004971,2486137,43,associate degree,male,married,retired
p004972,A004972,2793615,42,associate degree,male,married,retired
p004973,A004973,3581974,42,bachelor's degree,female,married,retired
p004974,A004974,3862507,42,bachelor's degree,female,married,unemployed
p004975,A004975,4528071,42,bachelor's degree,male,married,retired
p004976,A004976,4871609,42,bachelor's degree,male,married,retired
p004977,A004977,3862507,62,bachelor's degree,male,married,retired
p004978,A004978,4027316,42,bachelor's degree,male,married,retired
p004979,A004979,3862507,42,bachelor's degree,male,married,blue-collar worker
p004980,A004980,1398427,42,bachelor's degree,male,married,unemployed
p004981,A004981,2367901,62,bachelor's degree,male,married,business owner
p004982,A004982,4175902,42,bachelor's degree,male,married,blue-collar worker
p004983,A004983,2947806,42,associate degree,male,married,retired
p004984,A004984,4381267,41,associate degree,male,married,retired
p004985,A004985,5039472,42,associate degree,male,married,retired
p004986,A004986,2046713,42,bachelor's degree,male,married,retired
p004987,A004987,1265934,42,associate degree,male,married,retired
p004988,A004988,2046713,42,associate degree,male,married,blue-collar worker
p004989,A004989,1398427,42,bachelor's degree,male,married,retired
p004990,A004990,5472906,42,bachelor's degree,female,married,retired
p004991,A004991,2947806,27,associate degree,male,married,freelancer
p004992,A004992,1527806,27,bachelor's degree,male,single,blue-collar worker
p004993,A004993,3071954,52,associate degree,male,married,retired
p004994,A004994,3714628,42,bachelor's degree,male,married,unemployed
p004995,A004995,3714628,42,bachelor's degree,male,married,retired
p004996,A004996,1265934,27,associate degree,male,single,retired
p004997,A004997,2367901,41,bachelor's degree,male,married,retired
p004998,A004998,4027316,42,bachelor's degree,male,married,blue-collar worker
p004999,A004999,4381267,47,bachelor's degree,male,married,retired
p005000,A005000,4027316,42,bachelor's degree,male,married,unemployed
p005001,A005001,4381267,42,associate degree,male,married,blue-collar worker
p005002,A005002,1739462,42,bachelor's degree,male,married,retired
p005003,A005003,1527806,43,bachelor's degree,male,married,blue-collar worker
p005004,A005004,1047286,52,bachelor's degree,male,married,retired
p005005,A005005,4175902,42,associate degree,male,married,business owner
p005006,A005006,1683509,62,bachelor's degree,male,married,unemployed
p005007,A005007,4175902,42,bachelor's degree,male,married,retired
p005008,A005008,1047286,52,bachelor's degree,male,married,retired
p005009,A005009,1739462,42,associate degree,male,married,unemployed
p005010,A005010,3186407,42,associate degree,female,married,retired
p005011,A005011,2657408,42,associate degree,male,married,retired
p005012,A005012,3295718,62,bachelor's degree,male,married,retired
p005013,A005013,3295718,27,associate degree,male,married,blue-collar worker
p005014,A005014,4693725,41,associate degree,male,married,freelancer
p005015,A005015,4871609,42,associate degree,male,married,retired
p005016,A005016,4381267,47,associate degree,male,married,business owner
p005017,A005017,2198345,42,bachelor's degree,male,married,retired
p005018,A005018,1739462,27,associate degree,male,married,freelancer
p005019,A005019,2657408,42,bachelor's degree,male,married,retired
p005020,A005020,1683509,42,bachelor's degree,male,married,retired
p005021,A005021,4381267,48,bachelor's degree,male,married,unemployed
p005022,A005022,4528071,42,bachelor's degree,male,married,business owner
p005023,A005023,5039472,42,bachelor's degree,male,married,retired
p005024,A005024,2198345,42,bachelor's degree,male,married,retired
p005025,A005025,4381267,42,bachelor's degree,female,married,retired
p005026,A005026,5286314,27,bachelor's degree,male,married,blue-collar worker
p005027,A005027,1527806,62,bachelor's degree,male,married,retired
p005028,A005028,4528071,47,bachelor's degree,male,married,retired
p005029,A005029,5286314,47,bachelor's degree,male,married,retired
p005030,A005030,1047286,42,associate degree,male,married,business owner
p005031,A005031,2486137,27,associate degree,male,married,unemployed
p005032,A005032,4693725,27,associate degree,male,married,retired
p005033,A005033,2947806,42,bachelor's degree,male,married,retired
p005034,A005034,2198345,42,bachelor's degree,male,married,business owner
p005035,A005035,3295718,48,bachelor's degree,male,married,retired
p005036,A005036,1398427,42,associate degree,male,married,business owner
p005037,A005037,2198345,42,bachelor's degree,male,married,retired
p005038,A005038,4175902,57,bachelor's degree,male,married,business owner
p005039,A005039,3581974,42,bachelor's degree,male,married,retired
p005040,A005040,3862507,42,bachelor's degree,male,married,retired
p005041,A005041,1398427,42,bachelor's degree,male,married,blue-collar worker
p005042,A005042,3186407,27,associate degree,male,married,retired
p005043,A005043,3071954,52,associate degree,male,married,retired
p005044,A005044,3295718,42,bachelor's degree,male,married,retired
p005045,A005045,2657408,42,bachelor's degree,male,married,business owner
p005046,A005046,1265934,42,associate degree,male,married,retired
p005047,A005047,3186407,42,associate degree,male,married,retired
p005048,A005048,5039472,42,associate degree,male,married,retired
p005049,A005049,3581974,42,associate degree,male,married,retired
p005050,A005050,1739462,52,associate degree,male,married,retired
p005051,A005051,2657408,42,associate degree,female,married,retired
p005052,A005052,1739462,42,bachelor's degree,male,married,business owner
p005053,A005053,2198345,42,bachelor's degree,male,married,retired
p005054,A005054,4528071,27,associate degree,male,married,retired
p005055,A005055,1527806,42,bachelor's degree,male,married,retired
p005056,A005056,5286314,42,bachelor's degree,male,married,blue-collar worker
p005057,A005057,3581974,27,associate degree,female,single,retired
p005058,A005058,4027316,42,associate degree,male,married,retired
p005059,A005059,4381267,42,bachelor's degree,male,married,business owner
p005060,A005060,1527806,27,associate degree,male,single,blue-collar worker
p005061,A005061,2046713,57,bachelor's degree,male,married,retired
p005062,A005062,4381267,42,bachelor's degree,male,married,retired
p005063,A005063,3295718,42,bachelor's degree,male,married,retired
p005064,A005064,1047286,42,bachelor's degree,male,married,blue-collar worker
p005065,A005065,1265934,42,associate degree,male,married,retired
p005066,A005066,5039472,42,associate degree,male,married,business owner
p005067,A005067,5039472,42,associate degree,male,married,retired
p005068,A005068,1047286,42,bachelor's degree,female,married,retired
p005069,A005069,2046713,62,bachelor's degree,male,married,retired
p005070,A005070,1265934,42,bachelor's degree,female,married,retired
p005071,A005071,3186407,42,bachelor's degree,male,married,retired
p005072,A005072,2657408,41,associate degree,male,married,blue-collar worker
p005073,A005073,2793615,42,bachelor's degree,male,married,retired
p005074,A005074,5472906,42,associate degree,male,married,retired
p005075,A005075,1683509,27,associate degree,male,single,business owner
p005076,A005076,1739462,52,bachelor's degree,male,married,retired
p005077,A005077,5472906,62,bachelor's degree,male,married,blue-collar worker
p005078,A005078,5039472,42,bachelor's degree,male,married,retired
p005079,A005079,1265934,48,bachelor's degree,male,married,retired
p005080,A005080,3468205,52,bachelor's degree,male,married,retired
p005081,A005081,4693725,42,associate degree,male,married,retired
p005082,A005082,5472906,42,bachelor's degree,male,married,retired
p005083,A005083,4175902,42,bachelor's degree,male,married,retired
p005084,A005084,4381267,47,associate degree,male,married,unemployed
p005085,A005085,3862507,42,associate degree,male,married,retired
p005086,A005086,2947806,42,bachelor's degree,male,married,retired
p005087,A005087,2046713,42,bachelor's degree,male,married,blue-collar worker
p005088,A005088,2486137,42,bachelor's degree,male,married,retired
p005089,A005089,2046713,42,bachelor's degree,male,married,unemployed
p005090,A005090,2947806,42,associate degree,male,married,retired
p005091,A005091,5472906,27,associate degree,male,single,retired
p005092,A005092,4381267,42,bachelor's degree,male,married,retired
p005093,A005093,2486137,42,associate degree,female,married,unemployed
p005094,A005094,2198345,27,bachelor's degree,male,married,unemployed
p005095,A005095,4871609,42,bachelor's degree,male,married,unemployed
p005096,A005096,1398427,27,associate degree,male,married,retired
p005097,A005097,3581974,42,bachelor's degree,male,married,unemployed
p005098,A005098,2657408,27,associate degree,male,married,retired
p005099,A005099,1527806,47,bachelor's degree,male,married,blue-collar worker
p005100,A005100,3295718,41,bachelor's degree,male,married,business owner
p005101,A005101,4027316,52,bachelor's degree,male,married,retired
p005102,A005102,5286314,42,associate degree,male,married,unemployed
p005103,A005103,1265934,27,bachelor's degree,male,married,retired
p005104,A005104,1739462,27,associate degree,male,married,business owner
p005105,A005105,2046713,42,bachelor's degree,male,married,retired
p005106,A005106,4693725,27,associate degree,male,single,retired
p005107,A005107,3295718,27,associate degree,male,married,blue-collar worker
p005108,A005108,1265934,47,bachelor's degree,male,married,blue-collar worker
p005109,A005109,2793615,42,associate degree,male,married,retired
p005110,A005110,1398427,27,associate degree,male,married,retired
p005111,A005111,5286314,42,associate degree,male,married,retired
p005112,A005112,3071954,42,bachelor's degree,male,married,blue-collar worker
p005113,A005113,5039472,42,bachelor's degree,male,married,retired
p005114,A005114,2367901,42,bachelor's degree,male,married,retired
p005115,A005115,4528071,42,associate degree,male,married,retired
p005116,A005116,5039472,42,associate degree,male,married,unemployed
p005117,A005117,2367901,52,bachelor's degree,male,married,blue-collar worker
p005118,A005118,2486137,42,bachelor's degree,male,married,unemployed
p005119,A005119,1398427,62,bachelor's degree,male,married,retired
p005120,A005120,3468205,42,bachelor's degree,male,married,retired
p005121,A005121,3071954,42,associate degree,female,married,retired
p005122,A005122,1047286,27,associate degree,male,single,retired
p005123,A005123,2657408,42,bachelor's degree,male,married,retired
p005124,A005124,1872056,27,associate degree,female,single,business owner
p005125,A005125,2367901,42,associate degree,male,married,retired
p005126,A005126,3581974,43,bachelor's degree,male,married,blue-collar worker
p005127,A005127,4693725,42,associate degree,male,married,blue-collar worker
p005128,A005128,2367901,42,bachelor's degree,male,married,retired
p005129,A005129,4381267,62,bachelor's degree,male,married,retired
p005130,A005130,3714628,42,associate degree,male,married,retired
p005131,A005131,2046713,27,associate degree,male,married,retired
p005132,A005132,3071954,42,bachelor's degree,male,married,unemployed
p005133,A005133,2657408,42,bachelor's degree,male,married,business owner
p005134,A005134,3581974,52,bachelor's degree,male,married,retired
p005135,A005135,3186407,42,bachelor's degree,male,married,business owner
p005136,A005136,4528071,42,bachelor's degree,male,married,retired
p005137,A005137,4528071,42,bachelor's degree,male,married,retired
p005138,A005138,1872056,27,associate degree,male,married,blue-collar worker
p005139,A005139,4381267,45,bachelor's degree,male,married,retired
p005140,A005140,5286314,52,bachelor's degree,male,married,retired
p005141,A005141,3468205,52,bachelor's degree,male,married,retired
p005142,A005142,4528071,62,bachelor's degree,female,married,blue-collar worker
p005143,A005143,4693725,52,bachelor's degree,male,married,unemployed
p005144,A005144,2046713,27,associate degree,male,single,retired
p005145,A005145,1683509,42,bachelor's degree,male,married,retired
p005146,A005146,1047286,42,bachelor's degree,female,married,blue-collar worker
p005147,A005147,5472906,42,bachelor's degree,female,married,retired
p005148,A005148,2947806,57,bachelor's degree,male,married,business owner
p005149,A005149,1047286,42,associate degree,male,married,business owner
p005150,A005150,2046713,42,bachelor's degree,male,married,retired
p005151,A005151,3468205,42,bachelor's degree,female,married,retired
p005152,A005152,2657408,41,bachelor's degree,male,married,unemployed
p005153,A005153,3862507,42,bachelor's degree,male,married,retired
p005154,A005154,4871609,52,bachelor's degree,male,married,unemployed
p005155,A005155,4175902,62,bachelor's degree,female,married,blue-collar worker
p005156,A005156,5286314,42,associate degree,male,married,retired
p005157,A005157,1047286,62,bachelor's degree,male,married,retired
p005158,A005158,2486137,27,bachelor's degree,male,married,retired
p005159,A005159,1047286,62,bachelor's degree,male,married,retired
p005160,A005160,4528071,47,bachelor's degree,male,married,retired
p005161,A005161,4027316,52,associate degree,male,married,retired
p005162,A005162,2793615,27,associate degree,male,single,blue-collar worker
p005163,A005163,5039472,42,bachelor's degree,female,married,retired
p005164,A005164,4381267,42,bachelor's degree,male,married,retired
p005165,A005165,4381267,47,bachelor's degree,male,married,retired
p005166,A005166,2367901,47,bachelor's degree,male,married,blue-collar worker
p005167,A005167,1527806,42,associate degree,male,married,retired
p005168,A005168,1872056,52,bachelor's degree,male,married,retired
p005169,A005169,3295718,42,bachelor's degree,male,married,retired
p005170,A005170,2046713,62,bachelor's degree,male,married,unemployed
p005171,A005171,2947806,42,bachelor's degree,male,married,unemployed
p005172,A005172,3186407,42,bachelor's degree,male,married,retired
p005173,A005173,1265934,42,bachelor's degree,male,married,retired
p005174,A005174,1683509,42,bachelor's degree,male,married,blue-collar worker
p005175,A005175,4175902,48,bachelor's degree,male,married,retired
p005176,A005176,2198345,45,bachelor's degree,male,married,unemployed
p005177,A005177,1398427,52,bachelor's degree,male,married,retired
p005178,A005178,1265934,42,associate degree,male,married,unemployed
p005179,A005179,5472906,42,bachelor's degree,female,married,business owner
p005180,A005180,2046713,56,bachelor's degree,male,married,blue-collar worker
p005181,A005181,5286314,42,bachelor's degree,male,married,retired
p005182,A005182,5039472,27,associate degree,female,single,blue-collar worker
p005183,A005183,3295718,42,bachelor's degree,male,married,unemployed
p005184,A005184,2947806,42,bachelor's degree,male,married,retired
p005185,A005185,4175902,42,bachelor's degree,female,married,retired
p005186,A005186,5286314,27,associate degree,male,married,retired
p005187,A005187,2657408,62,associate degree,male,married,retired
p005188,A005188,3071954,42,associate degree,male,married,unemployed
p005189,A005189,4381267,27,associate degree,male,married,blue-collar worker
p005190,A005190,1398427,42,associate degree,male,married,retired
p005191,A005191,3581974,62,bachelor's degree,male,married,unemployed
p005192,A005192,1527806,41,associate degree,male,married,freelancer
p005193,A005193,3295718,62,bachelor's degree,male,married,business owner
p005194,A005194,1683509,27,associate degree,male,single,retired
p005195,A005195,3862507,27,associate degree,male,single,retired
p005196,A005196,4871609,42,bachelor's degree,male,married,retired
p005197,A005197,2793615,42,bachelor's degree,male,married,retired
p005198,A005198,1398427,47,bachelor's degree,male,married,retired
p005199,A005199,3581974,52,bachelor's degree,male,married,unemployed
p005200,A005200,3581974,42,bachelor's degree,male,married,retired
p005201,A005201,1265934,52,bachelor's degree,male,married,retired
p005202,A005202,2947806,27,bachelor's degree,male,single,unemployed
p005203,A005203,4027316,42,bachelor's degree,male,married,retired
p005204,A005204,1683509,42,associate degree,male,married,retired
p005205,A005205,2046713,27,associate degree,male,married,unemployed
p005206,A005206,2367901,45,bachelor's degree,male,married,retired
p005207,A005207,2198345,42,bachelor's degree,male,married,retired
p005208,A005208,5039472,42,bachelor's degree,male,married,business owner
p005209,A005209,2486137,42,bachelor's degree,male,married,blue-collar worker
p005210,A005210,5472906,42,associate degree,male,married,retired
p005211,A005211,4693725,42,bachelor's degree,male,married,retired
p005212,A005212,2793615,42,associate degree,male,married,retired
p005213,A005213,4175902,47,bachelor's degree,male,married,business owner
p005214,A005214,4871609,42,associate degree,male,married,retired
p005215,A005215,4381267,48,bachelor's degree,male,married,retired
p005216,A005216,2486137,42,bachelor's degree,male,married,retired
p005217,A005217,2486137,42,bachelor's degree,male,married,retired
p005218,A005218,3071954,62,bachelor's degree,female,married,unemployed
p005219,A005219,2198345,42,bachelor's degree,male,married,retired
p005220,A005220,2046713,52,bachelor's degree,male,married,unemployed
p005221,A005221,1398427,52,associate degree,male,married,business owner
p005222,A005222,1872056,42,bachelor's degree,male,married,retired
p005223,A005223,1683509,42,bachelor's degree,female,married,retired
p005224,A005224,4528071,42,bachelor's degree,male,married,retired
p005225,A005225,4528071,42,bachelor's degree,male,married,retired
p005226,A005226,3581974,47,associate degree,male,married,retired
p005227,A005227,1527806,42,bachelor's degree,male,married,retired
p005228,A005228,1683509,52,bachelor's degree,male,married,retired
p005229,A005229,1527806,42,associate degree,male,married,retired
p005230,A005230,1739462,42,bachelor's degree,male,married,retired
p005231,A005231,3071954,41,associate degree,male,married,retired
p005232,A005232,3071954,42,bachelor's degree,male,married,business owner
p005233,A005233,2486137,42,bachelor's degree,male,married,retired
p005234,A005234,2947806,42,bachelor's degree,male,married,retired
p005235,A005235,1527806,27,associate degree,male,single,blue-collar worker
p005236,A005236,3468205,42,bachelor's degree,male,married,retired
p005237,A005237,2657408,62,bachelor's degree,male,married,retired
p005238,A005238,4528071,42,bachelor's degree,male,married,unemployed
p005239,A005239,1872056,42,bachelor's degree,male,married,blue-collar worker
p005240,A005240,3071954,62,bachelor's degree,male,married,blue-collar worker
p005241,A005241,2367901,27,associate degree,female,single,retired
p005242,A005242,3071954,42,bachelor's degree,male,married,business owner
p005243,A005243,2198345,27,associate degree,male,married,retired
p005244,A005244,5039472,27,associate degree,male,single,retired
p005245,A005245,1527806,42,bachelor's degree,male,married,blue-collar worker
p005246,A005246,1398427,42,associate degree,female,married,retired
p005247,A005247,1739462,52,bachelor's degree,male,married,retired
p005248,A005248,4693725,42,bachelor's degree,female,married,retired
p005249,A005249,4027316,42,bachelor's degree,male,married,retired
p005250,A005250,2367901,42,bachelor's degree,male,married,retired
p005251,A005251,4871609,43,bachelor's degree,male,married,retired
p005252,A005252,4175902,42,bachelor's degree,male,married,retired
p005253,A005253,4175902,42,bachelor's degree,male,married,unemployed
p005254,A005254,3714628,42,bachelor's degree,male,married,retired
p005255,A005255,1265934,62,bachelor's degree,female,married,blue-collar worker
p005256,A005256,1872056,52,bachelor's degree,male,married,retired
p005257,A005257,4871609,47,bachelor's degree,male,married,retired
p005258,A005258,5039472,42,associate degree,male,married,business owner
p005259,A005259,2486137,47,associate degree,male,married,retired
p005260,A005260,1683509,42,bachelor's degree,female,married,business owner
p005261,A005261,1398427,42,associate degree,male,married,retired
p005262,A005262,4175902,42,bachelor's degree,male,married,retired
p005263,A005263,2046713,27,associate degree,male,single,retired
p005264,A005264,2657408,62,bachelor's degree,female,married,blue-collar worker
p005265,A005265,2793615,41,associate degree,male,married,blue-collar worker
p005266,A005266,3295718,42,bachelor's degree,male,married,blue-collar worker
p005267,A005267,1265934,42,bachelor's degree,male,married,retired
p005268,A005268,4027316,47,bachelor's degree,male,married,retired
p005269,A005269,2367901,42,bachelor's degree,male,married,retired
p005270,A005270,2198345,62,bachelor's degree,male,married,business owner
p005271,A005271,4871609,27,associate degree,male,single,retired
p005272,A005272,1739462,42,bachelor's degree,male,married,retired
p005273,A005273,1047286,42,bachelor's degree,female,married,business owner
p005274,A005274,2793615,42,associate degree,male,married,business owner
p005275,A005275,5039472,42,bachelor's degree,male,married,retired
p005276,A005276,3071954,47,bachelor's degree,male,married,business owner
p005277,A005277,3468205,42,bachelor's degree,male,married,blue-collar worker
p005278,A005278,4381267,42,bachelor's degree,male,married,retired
p005279,A005279,3468205,42,associate degree,male,married,retired
p005280,A005280,2046713,42,bachelor's degree,female,married,retired
p005281,A005281,1527806,42,bachelor's degree,male,married,retired
p005282,A005282,3071954,42,bachelor's degree,male,married,retired
p005283,A005283,1527806,62,bachelor's degree,male,married,business owner
p005284,A005284,4693725,42,bachelor's degree,male,married,business owner
p005285,A005285,4693725,62,bachelor's degree,male,married,unemployed
p005286,A005286,1683509,42,bachelor's degree,male,married,retired
p005287,A005287,1527806,43,bachelor's degree,male,married,blue-collar worker
p005288,A005288,1047286,48,bachelor's degree,male,married,blue-collar worker
p005289,A005289,1265934,27,associate degree,female,single,retired
p005290,A005290,4871609,42,bachelor's degree,male,married,retired
p005291,A005291,4528071,42,associate degree,male,married,retired
p005292,A005292,2046713,42,bachelor's degree,male,married,retired
p005293,A005293,1683509,43,associate degree,male,married,retired
p005294,A005294,1872056,42,bachelor's degree,male,married,retired
p005295,A005295,4871609,62,bachelor's degree,male,married,business owner
p005296,A005296,2793615,42,associate degree,male,married,blue-collar worker
p005297,A005297,2657408,42,bachelor's degree,female,married,retired
p005298,A005298,4027316,42,associate degree,female,married,retired
p005299,A005299,3862507,42,bachelor's degree,male,married,retired
p005300,A005300,3862507,27,associate degree,male,married,business owner
p005301,A005301,1398427,42,bachelor's degree,male,married,retired
p005302,A005302,3581974,42,bachelor's degree,male,married,retired
p005303,A005303,3581974,42,bachelor's degree,male,married,retired
p005304,A005304,2198345,42,bachelor's degree,male,married,retired
p005305,A005305,5472906,42,bachelor's degree,male,married,retired
p005306,A005306,4871609,42,associate degree,male,married,retired
p005307,A005307,1398427,27,associate degree,male,married,retired
p005308,A005308,1047286,42,bachelor's degree,male,married,unemployed
p005309,A005309,1398427,52,bachelor's degree,male,married,retired
p005310,A005310,1872056,42,bachelor's degree,male,married,blue-collar worker
p005311,A005311,5286314,42,bachelor's degree,male,married,retired
p005312,A005312,3862507,47,bachelor's degree,male,married,blue-collar worker
p005313,A005313,3071954,47,bachelor's degree,male,married,retired
p005314,A005314,4693725,42,associate degree,male,married,retired
p005315,A005315,1683509,42,associate degree,female,married,business owner
p005316,A005316,1398427,42,bachelor's degree,male,married,blue-collar worker
p005317,A005317,5286314,47,associate degree,male,married,retired
p005318,A005318,5039472,52,bachelor's degree,male,married,business owner
p005319,A005319,4871609,47,bachelor's degree,male,married,retired
p005320,A005320,4693725,52,bachelor's degree,male,married,retired
p005321,A005321,2486137,52,bachelor's degree,male,married,retired
p005322,A005322,1527806,27,bachelor's degree,male,single,blue-collar worker
p005323,A005323,1265934,52,bachelor's degree,male,married,retired
p005324,A005324,3071954,42,bachelor's degree,male,married,retired
p005325,A005325,1265934,42,associate degree,male,married,retired
p005326,A005326,1739462,52,bachelor's degree,male,married,business owner
p005327,A005327,5472906,27,associate degree,male,single,retired
p005328,A005328,3581974,62,bachelor's degree,male,married,business owner
p005329,A005329,2947806,47,bachelor's degree,male,married,business owner
p005330,A005330,4871609,27,associate degree,male,married,blue-collar worker
p005331,A005331,4381267,42,bachelor's degree,female,married,retired
p005332,A005332,2793615,47,bachelor's degree,male,married,business owner
p005333,A005333,3186407,42,bachelor's degree,male,married,retired
p005334,A005334,1047286,42,bachelor's degree,male,married,retired
p005335,A005335,2793615,42,bachelor's degree,male,married,retired
p005336,A005336,4027316,42,bachelor's degree,male,married,retired
p005337,A005337,2947806,42,bachelor's degree,male,married,unemployed
p005338,A005338,1739462,42,associate degree,male,married,retired
p005339,A005339,2657408,42,bachelor's degree,female,married,retired
p005340,A005340,1872056,42,associate degree,male,married,retired
p005341,A005341,5472906,42,bachelor's degree,female,married,retired
p005342,A005342,1739462,27,associate degree,male,married,retired
p005343,A005343,2198345,42,associate degree,male,married,retired
p005344,A005344,2198345,42,bachelor's degree,male,married,retired
p005345,A005345,3071954,42,bachelor's degree,male,married,retired
p005346,A005346,5286314,42,bachelor's degree,male,married,unemployed
p005347,A005347,1683509,42,bachelor's degree,male,married,blue-collar worker
p005348,A005348,1265934,42,bachelor's degree,male,married,blue-collar worker
p005349,A005349,3714628,27,associate degree,male,single,retired
p005350,A005350,3714628,27,associate degree,male,single,business owner
p005351,A005351,3714628,42,bachelor's degree,male,married,retired
p005352,A005352,2046713,42,associate degree,male,married,retired
p005353,A005353,3862507,42,bachelor's degree,male,married,retired
p005354,A005354,2367901,42,bachelor's degree,male,married,blue-collar worker
p005355,A005355,3186407,42,bachelor's degree,male,married,retired
p005356,A005356,2947806,42,associate degree,male,married,retired
p005357,A005357,5286314,62,bachelor's degree,male,married,blue-collar worker
p005358,A005358,3468205,42,associate degree,male,married,unemployed
p005359,A005359,3186407,42,bachelor's degree,female,married,retired
p005360,A005360,1265934,47,associate degree,male,married,business owner
p005361,A005361,1398427,42,bachelor's degree,male,married,retired
p005362,A005362,2198345,42,bachelor's degree,male,married,retired
p005363,A005363,2793615,42,bachelor's degree,male,married,blue-collar worker
p005364,A005364,1683509,52,bachelor's degree,male,married,business owner
p005365,A005365,2947806,52,bachelor's degree,male,married,retired
p005366,A005366,1872056,52,bachelor's degree,male,married,retired
p005367,A005367,3862507,47,bachelor's degree,male,married,business owner
p005368,A005368,5286314,42,bachelor's degree,male,married,retired
p005369,A005369,4693725,27,associate degree,male,single,retired
p005370,A005370,3295718,42,bachelor's degree,male,married,retired
p005371,A005371,2046713,47,bachelor's degree,male,married,unemployed
p005372,A005372,3862507,47,associate degree,male,married,retired
p005373,A005373,4693725,42,associate degree,male,married,retired
p005374,A005374,3468205,42,bachelor's degree,male,married,unemployed
p005375,A005375,4693725,42,bachelor's degree,male,married,business owner
p005376,A005376,1047286,42,bachelor's degree,male,married,business owner
p005377,A005377,2793615,42,bachelor's degree,male,married,retired
p005378,A005378,4693725,42,bachelor's degree,male,married,retired
p005379,A005379,4175902,42,bachelor's degree,male,married,blue-collar worker
p005380,A005380,2657408,42,associate degree,male,married,business owner
p005381,A005381,3186407,42,bachelor's degree,female,married,retired
p005382,A005382,3468205,42,bachelor's degree,male,married,retired
p005383,A005383,4693725,52,bachelor's degree,male,married,business owner
p005384,A005384,3186407,42,bachelor's degree,male,married,retired
p005385,A005385,2657408,52,bachelor's degree,male,married,retired
p005386,A005386,5472906,62,bachelor's degree,male,married,retired
p005387,A005387,3581974,62,bachelor's degree,female,married,blue-collar worker
p005388,A005388,3295718,62,bachelor's degree,female,married,blue-collar worker
p005389,A005389,2486137,27,associate degree,male,married,retired
p005390,A005390,2793615,42,bachelor's degree,male,married,retired
